booking_id,seat_id
80404,1
80467,2
80398,3
80459,4
80467,5
80429,6
80451,7
80438,8
80455,9
80452,10
80387,11
80416,12
80448,13
80467,14
80389,15
80425,16
80467,17
80467,18
80424,19
80467,20
80399,21
80413,22
80462,23
80397,24
80406,25
80396,26
80444,27
80432,28
80467,29
80420,30
80437,31
80467,32
80426,33
80467,34
80439,35
80388,36
80464,37
80422,38
80467,39
80466,40
80454,41
80411,42
80447,43
80394,44
80446,45
80386,46
80436,47
80427,48
80390,49
80430,50
80402,51
80443,52
80409,53
80440,54
80467,55
80461,56
80467,57
80401,58
80393,59
80435,60
80412,61
80431,62
80442,63
80449,64
80391,65
80441,66
80400,67
80456,68
80433,69
80463,70
80467,71
80419,72
80465,73
80407,74
80408,75
80395,76
80460,77
80467,78
80467,79
80417,80
80458,81
80414,82
80385,83
80405,84
80421,85
80453,86
80467,87
80403,88
80467,89
80423,90
80410,91
80415,92
80467,93
80392,94
80428,95
80445,96
80434,97
80457,98
80450,99
80418,100
2287,1
2307,2
2323,3
2279,4
2334,5
2334,6
2333,7
2322,8
2334,9
2261,10
2313,11
2334,12
2256,13
2334,14
2319,15
2328,16
2304,17
2257,18
2258,19
2295,20
2332,21
2260,22
2334,23
2282,24
2317,25
2296,26
2277,27
2310,28
2300,29
2334,30
2271,31
2267,32
2293,33
2324,34
2266,35
2311,36
2291,37
2331,38
2299,39
2308,40
2283,41
2334,42
2318,43
2273,44
2272,45
2286,46
2303,47
2262,48
2265,49
2334,50
2316,51
2268,52
2334,53
2334,54
2275,55
2314,56
2255,57
2305,58
2290,59
2306,60
2334,61
2312,62
2263,63
2280,64
2325,65
2288,66
2334,67
2302,68
2259,69
2334,70
2334,71
2334,72
2327,73
2294,74
2320,75
2276,76
2334,77
2334,78
2292,79
2270,80
2264,81
2298,82
2274,83
2301,84
2297,85
2269,86
2281,87
2334,88
2285,89
2330,90
2334,91
2326,92
2289,93
2278,94
2284,95
2329,96
2321,97
2334,98
2315,99
2309,100
47059,1
47051,2
47044,3
47020,4
47059,5
47039,6
47030,7
47005,8
47059,9
47059,10
47059,11
47039,12
47059,13
47004,14
47040,15
47043,16
47056,17
47027,18
47015,19
47028,20
47036,21
47017,22
46993,23
46985,24
47032,25
46992,26
47011,27
47054,28
46991,29
47059,30
47003,31
47009,32
46996,33
46986,34
47059,35
47059,36
47012,37
47033,38
47055,39
47059,40
47052,41
47035,42
46999,43
47042,44
47024,45
47008,46
47047,47
47059,48
47059,49
47002,50
47059,51
47041,52
47023,53
47058,54
47037,55
47059,56
47059,57
47010,58
47059,59
47019,60
47059,61
47025,62
46995,63
47057,64
47026,65
47031,66
47045,67
47021,68
47006,69
47059,70
47007,71
47034,72
47049,73
47050,74
47048,75
47014,76
46998,77
46997,78
47038,79
47046,80
47059,81
46983,82
46987,83
47059,84
47013,85
47059,86
47000,87
46990,88
47018,89
47022,90
47053,91
46989,92
47016,93
47029,94
47001,95
47059,96
47059,97
46988,98
46994,99
