,movie_id,language_id
0,862,52711
1,8844,52711
2,8844,52694
3,15602,52711
4,31357,52711
5,11862,52711
6,949,52711
7,949,52670
8,11860,52694
9,11860,52711
10,45325,52711
11,45325,52674
12,9091,52711
13,710,52711
14,710,52686
15,710,52670
16,9087,52711
17,12110,52711
18,12110,52674
19,21032,52711
20,10858,52711
21,1408,52711
22,1408,50797
23,524,52711
24,4584,52711
25,5,52711
26,9273,52711
27,11517,52711
28,8012,52711
29,1710,52711
30,1710,52674
31,9691,52711
32,9691,52670
33,9691,52689
34,12665,52711
35,451,52711
36,16420,52711
37,9263,52711
38,17015,52711
39,902,52519
40,902,52694
41,37557,52671
42,9909,52711
43,63,52711
44,63,52694
45,78802,52711
46,9598,52711
47,47018,52711
48,687,52711
49,139405,52686
50,139405,52711
51,33689,52711
52,9603,52670
53,9603,52711
54,34615,52711
55,31174,52711
56,11443,52711
57,35196,52711
58,35196,52670
59,9312,52711
60,577,52711
61,11861,52711
62,807,52711
63,10530,52711
64,8391,52711
65,629,52670
66,629,52711
67,629,52694
68,629,52279
69,11448,52711
70,49133,52376
71,49133,52703
72,26441,52711
73,26441,52674
74,97406,52711
75,124057,52711
76,9089,52711
77,9089,52670
78,11010,52703
79,11010,52670
80,99040,52711
81,99040,52694
82,11359,52711
83,17182,52711
84,17182,52694
85,17182,52465
86,17182,52670
87,2054,52711
88,10607,52711
89,10607,52670
90,19760,52711
91,9536,52711
92,9536,52686
93,11525,52711
94,11525,52279
95,40628,52711
96,4482,52694
97,4482,52670
98,10634,52711
99,755,52711
100,755,52670
101,11859,52711
102,11859,52670
103,28387,52711
104,48750,52694
105,20927,52711
106,36929,52711
107,9102,52711
108,124626,52674
109,124626,52711
110,27526,52711
111,9623,52711
112,46785,52709
113,400,52711
114,880,52689
115,146599,52711
116,8447,52711
117,10534,52506
118,10534,52711
119,10534,52694
120,10534,52674
121,17414,52711
122,17414,52694
123,17414,52686
124,13997,52711
125,2086,52711
126,61548,52711
127,9095,52711
128,12158,52711
129,9283,52711
130,9208,52711
131,40154,52711
132,406,52694
133,45549,52711
134,63076,52711
135,11062,52711
136,13685,52670
137,13685,52711
138,47475,52711
139,2045,52711
140,9614,52711
141,688,52711
142,11907,52674
143,10874,52711
144,89333,52711
145,197,52711
146,197,52694
147,197,50797
148,103,52711
149,103,52670
150,33542,52519
151,33542,52711
152,43566,52711
153,43566,52694
154,43566,52674
155,71754,52711
156,43612,52694
