movie_id,language_id
862,52711
8844,52711
8844,52694
15602,52711
31357,52711
11862,52711
949,52711
949,52670
11860,52694
11860,52711
45325,52711
45325,52674
9091,52711
710,52711
710,52686
710,52670
9087,52711
12110,52711
12110,52674
21032,52711
10858,52711
1408,52711
1408,50797
524,52711
4584,52711
5,52711
9273,52711
11517,52711
8012,52711
1710,52711
1710,52674
9691,52711
9691,52670
9691,52689
12665,52711
451,52711
16420,52711
9263,52711
17015,52711
902,52519
902,52694
37557,52671
9909,52711
63,52711
63,52694
78802,52711
9598,52711
47018,52711
687,52711
139405,52686
139405,52711
33689,52711
9603,52670
9603,52711
34615,52711
31174,52711
11443,52711
35196,52711
35196,52670
9312,52711
577,52711
11861,52711
807,52711
10530,52711
8391,52711
629,52670
629,52711
629,52694
629,52279
11448,52711
49133,52376
49133,52703
26441,52711
26441,52674
97406,52711
124057,52711
9089,52711
9089,52670
11010,52703
11010,52670
99040,52711
99040,52694
11359,52711
17182,52711
17182,52694
17182,52465
17182,52670
2054,52711
10607,52711
10607,52670
19760,52711
9536,52711
9536,52686
11525,52711
11525,52279
40628,52711
4482,52694
4482,52670
10634,52711
755,52711
755,52670
11859,52711
11859,52670
28387,52711
48750,52694
20927,52711
36929,52711
9102,52711
124626,52674
124626,52711
27526,52711
9623,52711
46785,52709
400,52711
880,52689
146599,52711
8447,52711
10534,52506
10534,52711
10534,52694
10534,52674
17414,52711
17414,52694
17414,52686
13997,52711
2086,52711
61548,52711
9095,52711
12158,52711
9283,52711
9208,52711
40154,52711
406,52694
45549,52711
63076,52711
11062,52711
13685,52670
13685,52711
47475,52711
2045,52711
9614,52711
688,52711
11907,52674
10874,52711
89333,52711
197,52711
197,52694
197,50797
103,52711
103,52670
33542,52519
33542,52711
43566,52711
43566,52694
43566,52674
71754,52711
43612,52694
51352,52711
16934,52711
10324,52711
78406,52711
55731,52711
32119,52711
11066,52694
11066,52711
11104,52519
11104,52711
11104,52566
11104,52671
37975,52703
2074,52711
27793,52711
44284,52569
44284,52694
110972,52711
32622,52711
73067,52711
11863,52711
55475,52670
124636,52711
9101,52711
123360,52711
5757,52711
39428,52711
9302,52694
11000,52711
11000,52694
249882,52711
249882,48243
249882,51546
16388,52711
9737,52711
30765,52674
10474,52711
22279,52711
30157,52711
568,52711
11780,52711
34996,52711
414,52711
649,52694
649,52670
1873,52711
5894,52711
1775,52711
8839,52711
20649,52711
10329,52711
10329,52694
8963,52711
26564,52711
8068,52711
8512,52711
1572,52711
1572,52674
1572,50351
13552,52711
259209,52711
6520,52711
6520,52694
9073,52711
9073,52565
9073,51539
10428,52711
10428,52703
10428,52566
10428,52686
17447,52711
17447,52694
9886,52711
9886,52566
9482,52711
19326,52711
9344,52711
9071,52711
8973,52711
15730,52711
47608,52711
2293,52711
9070,52711
68274,52711
48787,52686
48787,52711
34574,52674
34574,52711
1642,52711
1642,52670
11472,52711
11472,52686
36196,52711
11980,52711
58372,52711
32646,52711
10533,52711
10802,52711
10149,52711
18402,52711
9348,52711
139408,52279
139408,52711
281,52711
5967,52694
79593,52711
47939,52711
36834,52711
9090,52711
9090,52670
3512,52711
52856,52711
77350,52711
9560,52711
9804,52711
9804,52674
9804,52670
31611,52711
65796,52519
65796,52711
49805,52711
26258,52711
26258,52674
50797,52686
19155,52376
19155,52711
76,52711
76,52674
76,52694
11017,52694
11017,52670
11017,52711
37141,52711
9382,52711
6715,52711
18256,52711
18256,52703
18256,52540
22625,52711
2292,52711
1909,52711
8984,52711
61813,52711
4954,52711
62488,52711
10531,52711
11929,52711
8467,52711
10451,52671
20156,52711
20156,52295
18395,52711
522,52711
397,52694
397,52711
10525,52711
27985,52711
15789,52711
27303,52711
21183,52711
10954,52694
47867,52711
43475,52711
72031,52711
14275,52711
1024,52711
17207,52711
17207,52686
13701,52711
14819,52711
32631,52711
32631,52694
32631,52674
11777,52711
11777,52674
628,52711
628,52694
87729,52711
18713,52711
6280,52711
9061,52711
37108,52711
6071,52711
11,52711
9587,52711
9587,52674
9587,52694
19101,52711
19101,52694
49980,52711
17961,52694
18183,52711
18183,52670
4476,52711
11008,52711
47504,52711
32325,52711
32325,52670
43742,52711
28313,52711
11318,52711
3036,52711
40490,52711
24070,52711
8986,52711
10510,52711
17402,52711
38722,52711
38722,52670
8438,52711
11593,52684
11593,52711
11593,52279
1945,52711
39310,52711
109560,52711
109560,52519
56428,52711
63105,52711
131957,52711
241,52711
241,52566
9058,52711
527,52711
18220,52711
6950,52711
6950,52465
6950,52694
101,52711
63020,52711
2307,52711
680,52711
680,52670
680,52694
41478,52711
25296,52711
25296,52671
40156,52711
11450,52711
30304,52711
30304,52566
10452,52694
10452,52703
12106,52711
161495,52711
3586,52694
3586,52703
3586,52686
3586,52670
3586,52711
110,52694
108,52694
108,52669
109,52694
109,52279
109,52669
159185,52671
36357,52711
92769,52711
28033,52711
22586,52711
14334,52711
14334,51493
2636,52711
2164,52711
2164,52552
2164,52540
11395,52711
278,52711
9905,52711
87078,52711
12527,52670
20306,52711
36614,52711
27993,52711
27993,52674
31439,52671
9067,52711
9059,52711
193,52711
25066,52711
46797,52711
12122,52711
11381,52711
32636,52711
36141,52711
95963,52711
1587,52711
9271,52711
2064,52711
19855,52711
60855,52519
60855,52711
236,52711
48287,52711
3049,52711
2759,52711
12635,52711
12635,52694
12635,52674
12635,52686
10497,52694
10497,52711
11382,52711
9331,52711
10731,52711
10464,52711
10464,52694
34152,52711
9495,52711
29973,52711
888,52711
13,52711
712,52711
16295,52711
48992,52711
48992,52670
10879,52711
10879,52694
10660,52711
10714,52711
10714,49257
41647,52674
8587,52711
1689,52711
11596,52711
854,52540
854,52711
9359,52711
23333,52711
36593,52711
12280,52711
2788,52711
10427,52711
11011,52711
11011,50797
49803,52711
8987,52711
1637,52711
15128,52711
8831,52711
36955,52711
36955,52694
36955,52569
36955,52674
10449,52711
10449,52694
10449,52212
10395,52711
12160,52711
40480,52711
52038,52711
29444,52711
26352,52711
39953,52711
41580,52694
315,52711
22067,52711
18242,52711
11667,52711
11667,52566
32502,52711
28732,52711
75555,52711
278939,52711
291731,52711
226229,52711
203119,52711
8011,52711
2654,52711
18069,52711
18069,52694
19092,52711
2758,52711
38129,52711
10436,52711
10436,52703
13595,52711
46094,52711
9409,52711
11853,52711
11853,52686
16771,52670
16771,52711
46924,52711
11041,52711
306,52711
14522,52711
26203,52711
178,52711
19819,52711
57834,52694
57834,52711
4722,52711
18215,52711
1607,52711
1607,52703
26391,52711
117553,52711
6075,52711
6075,52670
11310,52711
11310,52703
11310,52686
18658,52711
9350,52711
9612,52711
2124,52684
2124,52711
26261,52711
26261,52279
19176,52711
49299,52711
11566,52711
9571,52711
9739,52711
24257,52711
34444,52711
34444,52674
26141,52711
10997,52671
50463,52711
10443,52711
20239,52711
16297,52711
18551,52711
25440,52711
9024,52711
37233,52711
1634,52711
13815,52711
5503,52711
35588,52711
35588,52694
2087,52711
41579,52711
18620,52711
41006,52711
4916,52711
2019,52711
31642,52711
31642,52212
9255,52711
26271,52711
10612,52711
2259,52670
2259,52711
16097,52711
11934,52711
106143,52711
12475,52711
9386,52711
7984,52711
59930,52711
15765,52711
31643,52711
31643,52694
6,52711
329,52711
329,52670
10909,52711
507,52711
507,52694
34024,52711
29918,52711
9593,52711
42580,52711
22317,52711
22317,52674
1413,52711
12121,52711
2246,52711
10502,52711
10440,52711
9516,52711
2320,52711
5879,52566
83718,52711
11971,52711
2625,52711
31911,52711
788,52711
21450,52711
11231,52711
41588,52711
10447,52711
31586,52711
9300,52711
9559,52711
9800,52711
713,52711
8291,52711
8291,52694
18133,52711
25557,52711
22588,52711
10872,52711
1245,52711
11858,52711
11858,52670
7007,52566
7007,52711
10467,52711
5550,52711
5550,52566
8005,52711
2088,52711
10412,52621
10412,52674
10412,52711
10412,52566
10412,52212
47889,52711
14534,52711
14534,52670
56583,52711
41878,52694
41878,52674
41878,52670
424,52674
424,52669
424,52295
424,52711
35233,52711
14291,52711
103413,52711
11236,52711
11592,52711
8850,52711
10445,52711
695,52711
43535,52711
12519,52711
23210,52711
858,52711
867,52711
78,52711
78,52674
78,52519
78,52566
78,52279
13203,52711
10442,52686
10442,52711
11074,52711
33367,52711
9607,52711
17585,52711
9057,52711
20967,52694
20967,52711
10635,52711
9479,52711
10057,52711
11969,52711
11969,50797
11969,52670
41590,52711
319,52711
319,52703
26408,52711
15139,52506
15139,52711
15139,52694
15139,52674
15139,52670
161158,52711
85247,52711
11446,52711
51980,52694
24405,52711
11655,52711
11655,52670
11800,52711
8223,52670
14587,52711
14587,52701
31504,52711
41653,52540
53185,52711
95743,52711
23637,52703
17600,52711
10897,52711
21352,52711
68806,52703
37345,52711
32562,52711
47507,52694
25403,52569
25403,52711
25403,52703
25403,52671
9066,52703
9066,52674
9066,52711
9066,52279
771,52711
251,52711
812,52711
280,52711
280,52670
581,52711
80350,52711
268,52711
268,52694
274,52711
408,52711
10020,52694
10020,52711
10895,52711
114,52711
114,52703
114,52566
41043,52694
41043,52686
576,52711
576,52674
576,52670
15477,52711
59146,52671
30528,52711
7300,52711
10824,52711
261246,52711
275,52711
11827,52711
11827,52279
8766,52711
23570,52711
47333,52711
47333,52694
51242,52703
10112,52711
4307,52670
46029,52711
32308,52711
88893,52703
88893,52711
52873,52694
123505,52711
340210,52711
44281,52569
28121,52711
12520,52711
1592,52711
1592,52670
166901,52711
36447,52711
19042,52711
38884,52169
38884,52711
38884,52670
47449,52711
36259,52711
41852,52711
40926,52711
9099,52711
2021,52711
61752,52711
10988,52711
11479,52694
398959,52674
339428,52674
12652,52694
10684,52711
954,52711
954,52694
954,52684
68445,52674
68445,52539
68445,52566
68445,52711
18989,52711
10801,52674
54285,52465
8840,52711
278978,52674
124625,52711
124625,52674
11107,52711
11107,52703
16417,49675
16417,52711
10363,52711
10363,52694
10363,52703
161070,52711
10539,52711
10543,52711
18414,52711
47502,52711
11902,52711
11902,52694
11902,52674
11902,52686
11902,51237
27098,52674
27098,52540
27098,52711
25087,52711
5801,52625
896,52625
3065,52711
318177,52711
2300,52711
8069,52711
288173,52670
288173,52711
221917,52711
8072,52694
35797,52711
35797,52694
88030,52711
88030,52621
83857,52711
33245,52711
33245,52686
124460,52711
27281,52711
27281,52212
105045,52674
40001,52711
29621,52711
117730,52295
20762,52703
20762,52711
37144,52711
48260,52711
12656,52711
38867,52711
25969,52711
44103,52689
44103,52694
44103,50797
44103,52670
753,52711
43634,52711
43634,52670
9103,52711
90214,52711
29649,52711
10990,52711
8866,52711
12233,52711
23449,52711
36355,52711
37667,52711
90148,52711
90148,52670
922,52711
922,52670
11876,52694
11876,52703
52633,52711
62364,52670
11687,52694
9304,52711
131232,52703
9100,52711
20759,52711
46063,52711
32513,52711
40651,52711
40651,52674
36915,52711
40507,52670
40507,52711
9802,52711
25697,52711
21588,52711
21588,52703
664,52711
11867,52711
47119,52694
314352,52674
9323,52566
10280,52711
10535,52711
124613,52711
532,52711
26744,52711
26744,52694
16299,52711
10547,52711
245268,52711
935,52711
55613,52674
55613,52711
41007,52711
35645,52711
110465,52711
255546,52711
255546,52621
40751,52519
40751,52671
85778,52711
11101,52674
11101,52686
9826,52711
9879,52711
63564,52711
22621,52711
7095,52711
26890,52711
46732,52711
124633,52711
124633,51237
202425,52694
77771,52569
77771,52694
77771,29250
181083,52694
41225,52711
41225,52694
41225,52674
41225,52703
87190,52711
627,52711
32872,52711
32872,52694
602,52711
14553,52711
9566,52711
10545,50797
10545,52711
9894,52711
11543,52711
9268,52711
9327,52711
123763,52670
81949,52711
81949,50351
42005,52279
44535,52711
44495,52711
78285,52694
11228,52711
10779,52711
26748,52711
26748,52670
38223,52711
9294,52711
49963,52711
11363,52711
11363,52694
1645,52711
31546,52711
77056,52694
36344,52711
18550,52711
11511,52711
172198,52279
34170,52711
281085,52711
109478,52711
124645,52711
12606,52711
35206,52694
151489,21872
4837,52694
4837,52711
12632,52674
9098,52674
124614,52711
18975,52711
18975,52703
11962,52711
2925,52711
28628,52711
3595,52711
9308,52711
92381,52711
18555,52711
12123,52711
10830,52711
3573,52711
10546,52711
10546,52674
18862,52711
31417,52694
9431,52711
9431,52670
297645,52671
48144,52671
46986,52711
46986,52674
46986,52566
144982,52711
47907,52711
10061,52711
36266,52212
549,52711
549,52670
10478,52711
66634,52711
116690,52566
213917,52694
145925,52703
238,52711
238,52703
238,50797
159,52674
11134,52519
11134,52711
11134,51539
11134,52077
88224,52711
132641,52566
42758,52711
9303,52711
23945,52711
37820,52711
22479,52711
9054,52711
241058,52711
11985,52671
10232,52674
59569,52711
38955,52519
110513,52711
11015,52711
9306,52711
12559,52711
12559,52694
12559,52670
58770,52711
3587,52711
10723,52711
56077,52711
19004,52711
101230,52689
101230,52711
10987,52711
44705,52711
44705,52670
20318,52711
20318,52674
43596,52674
79782,52669
26933,52694
27854,52670
27854,52711
981,52711
872,52711
2769,52711
2769,52694
2769,52674
13320,52711
164,52711
164,52621
426,52711
567,52711
3078,52711
13528,52711
28288,52711
28288,52694
28288,52703
213,52711
284,52711
239,52711
4808,52711
4808,52694
4808,52674
4808,52703
289,52674
289,52694
289,52703
289,52711
963,52711
11113,52711
6620,52711
6620,52703
804,52711
804,52703
26531,52711
909,52711
630,52711
770,52711
31044,52711
599,52711
15,52711
62,52711
62,52686
121357,52711
121357,52674
705,52711
705,52694
22490,52711
22490,52694
223,52711
223,52694
25670,52689
25670,52711
25670,48470
303,52711
4174,52711
8356,52711
8356,52694
8356,52703
8356,52621
381,52694
381,52711
20758,52703
20758,52711
29376,52694
29376,52711
1859,52711
18299,52711
18299,52694
17281,52711
17281,52694
64382,52711
10907,52711
32093,52711
32093,52670
1939,52711
22292,52711
3598,52711
3598,52671
3598,52670
3080,52711
3080,52703
198,52711
13562,52711
13562,52279
1712,52711
1712,52670
220,52711
3529,52711
3085,52711
2897,52711
2897,52670
2897,52694
1585,52711
3083,52711
900,52711
43795,52711
85638,52711
50001,52711
43905,52711
22688,52711
23114,52711
26378,52711
40206,52711
22356,52711
260,52711
43488,52711
43488,52703
22613,52711
22613,52670
10331,52711
488,52711
488,52674
488,49332
22733,52703
22733,52711
261,52711
57575,52711
57575,52279
32574,52711
22657,52711
22657,52670
76464,52711
22649,52711
176841,52711
39448,52519
39448,52711
52855,52711
52855,52669
39940,52711
85328,52711
11076,52711
63945,52711
58985,52711
890,52674
10861,52711
1770,52711
44465,52711
2033,52711
18203,52711
9333,52711
47260,52711
9400,52711
9401,52711
9401,52212
12241,52711
12241,52670
11306,52711
9625,52711
10680,52711
6346,52711
6346,52669
18660,52711
18660,52674
35115,52670
35115,52711
14821,52711
14136,52670
14136,52711
14136,52519
10869,52711
22660,52711
19186,52711
31102,52711
6878,52711
15944,52711
18444,52711
18444,52703
20723,52711
173,52711
864,52711
864,52694
864,52674
864,52686
24795,52711
24795,52694
24795,52703
24795,52670
11224,52711
81310,52711
15947,52711
15947,52621
15947,52670
9078,52711
29682,52711
8367,52711
433,52711
11360,52711
11114,52711
12335,52711
12092,52711
10948,52711
11229,52711
15121,52711
15121,52694
15121,52703
562,52711
562,52674
562,52703
10163,52711
48862,52711
117036,52711
47199,52711
11159,52711
9591,52711
30500,52711
41843,52711
41843,52674
55058,52711
10938,52711
11412,52711
10586,52711
42314,52711
27845,52703
27845,52711
108365,52711
108365,52694
23223,52711
49471,52711
38153,52711
38153,52279
25147,50797
25147,52711
9716,52711
43777,52670
454,52711
10218,52711
819,52711
38191,52711
11238,52711
27256,52711
31530,52711
31530,52694
66473,52711
28120,52711
1834,52711
26282,52566
26282,52519
26282,52711
37218,52711
252,52711
252,52694
252,52674
116356,52694
16372,52711
11561,52711
11302,52711
623,52711
623,52703
623,52686
583,52711
12614,52711
12614,52694
21711,52711
11575,52711
11575,52703
475,52711
11331,52711
521,52711
21202,52703
88,52711
500,52711
792,52711
792,52212
8491,52711
402,52711
10537,52711
11386,52711
9504,52711
15764,52684
15764,52711
15764,52694
15764,52674
15764,52669
15764,52686
601,52711
67365,52711
25842,52711
2119,52711
744,52711
136311,52711
221,52711
702,52711
25750,52711
17642,52711
427043,52674
146341,51547
146341,52711
9305,52694
37616,52711
11112,52711
21612,52703
21612,52711
102461,52694
36998,52694
200383,52711
200383,52694
116844,52711
1630,52711
26626,52711
11816,52711
11843,52711
10379,52711
2756,52711
790,52711
1103,52711
11298,52711
4480,52703
4480,52694
4481,52694
49688,52670
10765,52711
762,52694
762,50797
762,52711
44497,52711
278621,52711
55049,52694
79306,52711
10548,52711
531,52711
104931,52686
104931,52694
104931,52674
104931,52711
104931,52703
4483,52694
18919,52684
18919,50797
31556,52711
26167,52711
26174,52711
26174,52703
61461,52703
117500,52694
127973,52711
659,52674
659,52295
659,52703
659,52669
659,52686
30892,50797
30892,52711
30892,52694
30892,52703
30892,52674
8074,52694
38554,52711
49763,52711
41326,52711
36555,52711
10608,52711
11216,52703
7452,52711
64567,52711
64567,52694
892,52694
1600,52694
1600,52703
1600,52669
26561,52711
26561,52703
975,52711
975,52674
975,50797
18129,52711
54405,52711
150823,52711
409,52674
409,52703
409,52569
409,52711
38251,52355
38251,52703
38251,52670
10161,52711
1412,52711
41768,52711
10409,52670
10409,52711
14285,52711
2469,52670
10174,52711
10174,52694
31225,52711
510,52711
11455,52711
1891,52711
2493,52711
85,52711
85,52670
85,52674
85,52295
85,52569
68,52711
679,52711
429,52703
13446,52711
389,52711
947,52569
947,52711
947,52109
185,52711
595,52711
28,52711
28,52694
28,52212
335,52711
1892,52711
144,52711
144,52694
144,52674
1092,52711
1092,52686
1092,52674
769,52703
769,52711
348,52711
348,52670
766,52711
175,52711
175,52694
175,52703
11645,52566
10835,52519
10835,52566
10835,52671
539,52711
525,52711
240,52711
240,52703
240,50797
240,52670
600,52711
600,52212
530,52711
10705,52711
10705,52694
279,52711
279,52674
279,52703
279,50797
3109,52711
3109,51493
311,52711
311,52694
311,52703
1578,52711
703,52711
703,52674
9549,52711
9549,52686
1398,52686
387,52674
387,52711
387,52694
9277,52711
343,52711
37291,52711
490,52540
11235,52711
218,52711
763,52711
9665,52711
18971,52711
696,52711
379,52703
379,52711
207,52711
37247,52711
1480,52711
1480,52670
9322,52711
9322,52694
9322,52703
826,52566
826,52077
826,52711
422,52674
422,52711
422,52694
422,52703
829,52670
829,52519
829,52711
828,52711
828,52694
828,52701
828,52686
3090,52711
9964,52711
3063,52711
13667,52711
13667,52279
694,52711
235,52711
832,52674
765,52711
5925,52711
5925,52674
5925,52694
5925,52686
11778,52711
11778,52694
11778,52686
11778,52212
4485,52711
4485,52694
4485,52703
137,52711
137,52694
137,52703
33,52711
982,52711
8428,52711
212,52711
212,52674
105,52711
1633,52711
11202,52711
1554,52711
1554,52703
149,52566
8009,52711
903,52711
11673,52694
3034,52711
3034,52674
339,52711
339,52648
339,52694
339,52674
339,52703
10404,52671
914,52711
914,45855
756,52711
288,52711
910,52711
2640,52711
2640,52703
16633,52711
665,52711
11031,52711
11314,52711
15143,52711
89,52674
89,52355
89,52711
10322,52711
783,52711
783,52701
10644,52711
11257,52711
11257,52703
14370,52711
12104,52711
625,52621
625,52711
625,52694
625,52279
8816,52540
830,52711
2323,52711
983,52711
642,52711
642,52670
655,52711
10341,52711
10341,52694
10341,52674
10341,52703
10341,52566
639,52711
266022,52711
168450,52711
30180,52711
31388,52711
41801,52711
66034,52711
348138,52711
61536,52711
18762,52711
8077,52711
814,52711
41671,52711
41671,52621
27214,52711
52263,52711
33519,52711
16235,52711
11449,52711
41848,52711
41848,52703
25944,52711
24913,52711
49126,52711
32076,52711
32076,52670
571,52711
8851,52711
37843,52711
32146,52711
30346,52711
6114,50797
6114,50351
6114,51547
6114,52355
6114,52711
229,52711
13549,52711
9529,52711
1598,52711
11349,52711
7340,52711
6217,52711
377,52711
28198,52703
794,52711
794,52703
794,50797
31640,52711
8744,52711
25189,52711
145,52711
2212,52711
199,52711
7863,52711
12498,52711
9279,52711
53234,52711
53234,52694
53234,52703
17204,52711
21539,52711
21539,52670
85589,52552
12709,52694
20539,52711
11674,52711
64900,52711
64900,52694
64900,52686
1573,52711
1573,52670
152,52711
174,52711
172,52711
154,52711
157,52711
157,52686
168,52711
168,52648
364,52711
11967,52711
9086,52711
621,52711
9037,52711
10173,52711
55687,52711
168535,52711
8845,52711
46681,52711
46681,52670
578,52711
579,52711
17692,52711
17795,52711
75,52711
75,52694
13891,52711
9390,52711
9390,52669
378,52711
10896,52711
2322,52711
2322,52671
2322,52686
41240,52711
26949,52711
26949,52703
9819,52711
9819,52670
49799,52711
31908,52711
46027,52711
3179,52684
3179,52711
1802,52694
1802,52674
4232,52711
9361,52711
9361,52694
2928,52711
2928,52621
30285,52711
10549,52711
58102,52711
58102,51493
18451,52711
27265,52711
49935,52694
8818,52711
8818,52670
36758,52703
36758,52711
36040,52711
74239,52711
9415,52711
303693,52711
303693,52674
12145,52711
42424,52711
34314,52711
2892,52711
9404,52711
9404,52686
9404,52631
9404,52671
9404,52519
9622,52711
8860,52711
66597,52711
14832,52711
9619,52711
40506,52711
31000,52711
31000,52670
4104,52711
4104,52621
26306,52711
43775,52670
14908,52711
784,52684
784,52686
784,49257
12489,52711
16448,52711
55936,52686
17894,52711
28059,52711
58911,52711
17949,52711
1968,52711
61563,52711
66,52711
66,52670
20735,52711
20735,52694
11419,52711
25796,52711
25796,52694
638,52711
25624,52711
9366,52566
9366,52711
9366,52703
60083,52694
21915,52711
90928,52711
18420,52711
18420,52670
19952,52711
9446,52711
28005,52711
9403,52711
27322,52711
10003,52711
10003,52686
9311,52711
11844,52711
884,52711
884,52540
49806,52711
1624,52711
88423,52711
16052,52670
16052,52711
4477,52711
24662,52711
24662,52674
18423,52711
76996,52711
6499,52711
50512,52711
9405,52711
12723,52711
9360,52711
9434,52711
118991,52711
21626,52711
13982,52670
13982,52711
93946,52711
31465,52711
12793,52711
102878,52711
105763,52686
105763,52694
105763,49780
9611,52711
9611,52694
9611,52279
47694,52671
10357,52674
10357,52670
10357,52711
9977,52711
816,52711
2163,52711
124680,52711
124680,52566
16399,52711
124843,52711
31017,52711
24645,52711
49478,52711
49478,52671
12499,52711
18,52711
18,52540
18,52674
68545,52711
1811,52711
109614,52711
60082,52711
105045,52674
53023,52694
64802,52711
64802,52686
11239,52566
50850,52711
15321,52711
15321,21872
2058,52711
9450,52711
330,52711
38523,52694
16375,52711
16375,52694
16375,52703
16375,52566
33660,52711
59232,52711
45671,52711
17770,52711
17770,52694
15170,52711
1701,52711
26422,52519
26422,52711
26422,52694
26422,52703
26422,52566
26422,52671
124642,52694
1639,52711
1639,52621
106129,52711
107743,52711
415,52711
47686,52711
65889,52711
11103,52711
11970,52711
11970,52670
11970,52355
34941,52711
407992,52711
8874,52711
8874,52694
8874,52703
17991,52566
11956,52694
266,52711
266,52694
266,52674
266,52703
754,52711
754,50797
37567,52711
43771,52709
124834,52694
249358,52711
111367,52694
607,52711
607,52670
18080,52711
38225,52711
17834,52711
686,52711
65046,52711
4421,52711
9387,52711
10603,52711
10603,52670
2142,52711
8413,52711
8413,50797
10336,52711
20737,52711
9413,52711
9413,52694
14585,52711
18519,52684
18519,52711
49462,52711
8834,52711
9458,52711
8854,52711
38295,52711
22073,52711
37244,52711
4961,52711
4961,52703
9416,52711
26180,52711
17832,52711
9772,52711
9772,52686
6072,52711
6072,52670
1669,52711
1669,52686
468,52711
32519,52711
108401,52711
108401,52670
10806,52711
9433,52711
9433,52694
9433,52686
6623,52711
6623,52686
6623,51237
6623,51546
6623,48243
2118,52711
978,52711
9437,52711
9437,52671
29461,52703
29461,52711
56651,52711
10351,52711
66588,52711
2649,52519
2649,52674
2649,52711
14289,52711
10155,52711
75250,52711
20457,52711
18355,52694
33657,52711
55306,52711
68924,52711
36434,52711
2255,52711
28353,52711
9427,52711
172545,52711
17589,52711
3597,52711
1813,52711
1813,52694
1813,52674
1813,52703
1813,52671
1813,52670
36797,52711
12628,52711
12628,52694
12628,52686
33344,52711
25099,52711
45019,52694
45019,52711
63437,52711
62422,52711
782,52711
782,45855
29911,52711
9827,52711
1959,52711
251481,52711
8067,52711
125052,52711
45153,52711
10871,52711
14398,52711
10890,52711
10890,52686
10890,52669
99002,52694
1281,52711
32332,52711
9770,52711
12616,52711
34838,52711
34838,52694
34838,52674
34838,52670
14905,51546
14905,51237
14905,52711
14583,52670
14583,52711
11975,52711
4995,52711
9281,52674
9281,52711
45928,52711
563,52711
61337,52711
19931,52519
19931,52711
19931,52694
19931,52671
31535,52711
10215,52711
9823,52711
37165,52711
45609,52711
45609,52703
38904,52711
9407,52711
9407,52671
4824,52711
4824,52686
9444,52711
9444,52686
9444,52694
9414,52711
8078,52711
29938,52711
11831,52711
11831,52670
2895,52711
39177,52694
19601,52711
124606,52711
42832,52694
22797,51493
22797,52711
2639,52711
9574,52711
10371,52711
489,52711
167738,52711
9714,52669
9714,52711
8197,52711
