name,lat,lon,city
"AB Miniplex: Shivranjini Cross Road, Satellite",23.02494,72.52938,2
Amber Cinema: Ahmedabad,23.03431,72.62002,2
Anupam Cinema: Ahmedabad,23.00656,72.61333,2
"Apsara Cinema, Behrampura",23.0039742,72.597468,2
"Aradhana Cinema, Behrampura",23.00396,72.5975195,2
Carnival: Himalaya Mall,23.04708,72.53093,2
"Cinemax: Dev Arc, Ahmedabad",23.02573,72.50776,2
"Cinemax: Red Carpet, Ahmedabad",23.07968,72.5277,2
"Cinemax: Shiv, Ahmedabad",23.03188,72.57103,2
"Cinepolis: Alpha One Mall, Ahmedabad",23.03952,72.53199,2
City Gold Satellite: Ahmedabad,23.01568,72.52992,2
City Gold: Ashram Road,23.0319,72.56999,2
City Gold: Bapunagar,23.03743,72.61513,2
City Gold: Bopal,23.02869,72.47856,2
City Gold: Motera,23.09203,72.59319,2
Devi Multiplex: Naroda,23.07253,72.64998,2
"Galaxy, Station Road",23.0748037,72.6554437,2
"Hanjar Cinema, Gandhi Ashram",23.0263983,72.6040875,2
K Sera Sera: SG Highway,23.02873,72.50858,2
"Mira Cinema, Bhairavnath Road",22.9972166,72.5927863,2
Miraj Cinemas Cine Pride: Krishna Nagar,23.05369,72.64335,2
"Miraj Cinemas: Vitthal Plaza, New Naroda",23.07891,72.67304,2
Miraj City Pulse: Ahmedabad,23.01467,72.5964,2
"Mukta A2 Cinemas: Gulmohar Park Mall, Satellite Rd",23.02655,72.50996,2
"PVR: Acropolis, Ahmedabad",23.04884,72.51621,2
"PVR: Arved Transcube, Ahmedabad",23.0685,72.57602,2
"PVR: Motera, Ahmedabad",23.10273,72.59521,2
Rajhans Cinemas: Nikol,23.05089,72.66758,2
Rajhans Cinemas: Satadhar,23.06663,72.53127,2
Revolution Multiplex: Ahmedabad,22.99858,72.63548,2
"Sapna Cinema, Juhapura",22.9855719,72.500771,2
"Shital Cinema, Gomtipur",23.0217999,72.6105388,2
"Shree Balaji Agora Mall, Chandkheda",23.1144241,72.5679062,2
"Time Cinema: CG Road, Ahmedabad",23.02435,72.55651,2
"Usha Talkies, Gomtipur",23.017995,72.6152555,2
Wide Angle: Ahmedabad,23.02457,72.50745,2
"7D Mastii: Element Mall, Nagwara",13.04541,77.6266,1
"7D Mastiii: Forum Value Mall, Whitefield",12.95972,77.74778,1
"7D Voyage: Central Mall, Bellandur",12.9264,77.67533,1
7D VR Voyage: Garuda Mall,12.97004,77.60999,1
Abhinay Theatre: Gandhi Nagar,12.97354,77.57755,1
Akash Cinemas (Rajeshwari Theatre): Laggere,13.01481,77.51611,1
Amruth Theatre: Lingarajapuram,13.01244,77.62621,1
"Anand Theatre, No-268",13.011335,77.609965,1
Anjan Digital 4K A/C Cinema: Magadi Road,12.97517,77.55891,1
Anupama Theatre: Gandhinagar,12.97616,77.5756,1
Aruna Theatre: Srirampuram,12.98679,77.56722,1
