user_id,language_id
9233,50532
9233,52694
9233,50190
04982,25113
04982,51237
04982,52077
025962,52698
025962,33500
025962,50351
7408170,52699
7408170,49286
7408170,44351
937628,52648
937628,51547
937628,52355
9362781,49701
9362781,52566
9362781,51799
11630,52465
11630,33500
11630,50532
3598481,52648
3598481,51843
3598481,52631
77907,51547
77907,33500
77907,51542
1288763,49257
1288763,45855
1288763,52495
1727745,21872
1727745,29250
1727745,52355
1535648,52674
1535648,52212
408605,50351
408605,52698
408605,52703
3393954,52552
3393954,33500
3393954,52621
4576,52465
4576,52565
2130502,52465
2130502,49675
2130502,50669
492444,52701
492444,29250
492444,51493
69777,51237
69777,52565
69777,52566
1487996,52212
1487996,51542
1487996,44351
376089,52506
376089,52539
376089,51547
600440,51546
600440,52565
600440,48470
0722281,52703
0722281,52566
0722281,52631
97579,52565
97579,51542
97579,50190
87989,52569
87989,52674
87989,51542
66933,21872
66933,52699
66933,52631
700566,49257
700566,49675
700566,52540
3514480,45855
3514480,52684
3514480,52703
1798,40455
1798,52566
1798,52279
772593,52355
772593,52684
772593,52295
32363,50669
32363,49675
32363,52621
41130,48470
41130,49286
41130,45855
15442,52569
15442,25113
15442,52703
04315,52648
04315,21668
04315,50797
08823,52648
08823,50532
08823,52279
310661,52169
310661,52699
4767762,52465
4767762,52355
4767762,50532
4467,48210
4467,48243
4467,23396
8867812,49257
8867812,52701
8867812,52694
6452,52569
6452,49780
6452,49701
257496,21872
257496,49286
257496,52671
8319571,52355
8319571,52212
24975,21872
24975,52625
24975,47292
09811,50669
09811,48210
09811,52621
7388,51843
7388,21668
7388,44351
6765,49675
6765,33500
6765,50351
2883,23396
2883,52686
2883,52495
646840,52506
646840,52684
646840,52212
2083836,52566
2083836,51237
2083836,48470
2244,51539
2244,49780
2244,50190
6811,52625
6811,51547
6811,52077
29698,52540
29698,52295
29698,52711
3634,50532
3634,52355
3634,21668
9066,49257
9066,52495
13476,52684
13476,52077
13476,52703
03185,52698
03185,51843
03185,52279
183426,25113
183426,51547
183426,23396
714477,52552
714477,50532
714477,49332
75503,52698
75503,49780
75503,52703
9236797,25113
9236797,52709
9236797,52711
950413,51843
950413,49332
950413,45855
9584017,52279
9584017,50797
9584017,52295
4674,49257
4674,52698
4674,50797
2559,46474
2559,51237
2559,49286
471616,25113
471616,52621
471616,52631
8322554,50669
8322554,51542
8322554,52631
16466,52689
16466,49675
16466,52701
6755820,52465
6755820,52674
6755820,47292
7293,52552
7293,51547
7293,49286
131130,33500
131130,52701
131130,51542
1329511,52689
1329511,52212
1329511,50190
7354274,52698
7354274,52699
7354274,52709
53824,52539
53824,52565
53824,52701
15545,49332
15545,52669
15545,45855
702882,52552
702882,52465
702882,52376
425248,49780
425248,52465
425248,49332
247946,52376
247946,52701
247946,47991
86529,51546
86529,52621
86529,52566
2265229,25113
2265229,51493
2265229,52671
48816,52539
48816,49286
48816,52711
6499,52569
6499,48243
6499,47991
145332,52540
145332,48470
145332,50190
931421,52701
931421,52674
931421,52621
942212,52674
942212,49701
942212,50351
507613,52625
507613,52694
2919,52625
2919,52686
2919,52671
964081,52698
964081,48243
964081,52566
9755862,40455
9755862,52709
9755862,52631
522095,51843
522095,50797
522095,49286
032847,51843
032847,52621
032847,47991
344421,51542
344421,51843
344421,49286
5033466,52506
5033466,52355
5033466,52495
320285,25113
320285,52694
320285,40455
277231,52552
277231,52506
277231,52212
2871869,52465
2871869,29250
2871869,45855
490030,52506
490030,47292
490030,51799
77004,52495
77004,52566
77004,40455
015854,49257
015854,49701
015854,25113
99211,52496
99211,52689
99211,29250
2036,52674
2036,52565
2036,52711
7998370,33500
7998370,51237
7998370,45855
822720,52569
822720,51539
822720,51542
50124,52569
50124,52169
